,w_nc,trial,violation_rate,true_norm_posterior,if_true_norm_found,true_norm_rank_wrt_posterior,best_equiv_norm_rank_wrt_posterior,max_posterior_in_chain,norm_wi_max_post,#chains_wi_true_norm,#chains_wi_post_gt_true_norm,rank_true_wi_freq,posterior_norm_top,total_equiv_norms_in_top_norms,total_equiv_norms_in_top_20_norms,best_equiv_norm_rank_wi_freq,best_equiv_norm,if_equiv_norm_found,if_true_or_equiv_norm_found,true_post/max_post,%chains_wi_true_norm,%chains_wi_post_gt_true_norm,expected_violation_rate,chk,min_true_or_equiv_rank_wi_posterior,min_true_or_equiv_rank_wi_freq
0,0.0,1,0.0,-536.2134778389366,True,1.0,1.0,-536.2134778389366,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",4,0,2.0,-536.21347783897,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.4,0.0,0.0,,1.0,1.0
0,0.0,2,0.0,-527.9478276733562,True,1.0,1.0,-527.9478276733562,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",2,0,8.0,-545.7747413967638,0,0,,,False,True,1.0,0.2,0.0,0.0,,1.0,8.0
0,0.0,3,0.0,-528.4710758171208,True,1.0,1.0,-528.4710758171208,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",5,0,2.0,-528.4710758170544,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.5,0.0,0.0,,1.0,1.0
0,0.05,1,0.03,-533.0215989819773,True,1.0,1.0,-533.0215989819773,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",6,0,2.0,-533.0215989820199,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.6,0.0,0.022222222222222223,1.3499999999999999,1.0,1.0
0,0.05,2,0.02,-533.5461239715421,True,1.0,1.0,-533.5461239715421,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",5,0,2.0,-549.999291514553,0,0,,,False,True,1.0,0.5,0.0,0.022222222222222223,0.9,1.0,2.0
0,0.05,3,0.03,-535.9791784484081,True,1.0,1.0,-535.9791784484081,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",5,0,2.0,-535.979178448383,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.5,0.0,0.022222222222222223,1.3499999999999999,1.0,1.0
0,0.1,1,0.03,-538.8904258720507,True,1.0,1.0,-538.8904258720507,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",5,0,1.0,-538.8904258720574,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.5,0.0,0.044444444444444446,0.6749999999999999,1.0,1.0
0,0.1,2,0.01,-529.581221235415,True,1.0,1.0,-529.581221235415,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",5,0,1.0,-529.5812212354424,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.5,0.0,0.044444444444444446,0.225,1.0,1.0
0,0.1,3,0.01,-530.3369205215705,True,1.0,1.0,-530.3369205215705,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",5,0,1.0,-530.3369205215579,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.5,0.0,0.044444444444444446,0.225,1.0,1.0
0,0.15,1,0.07,-539.8468253826791,True,1.0,1.0,-539.8468253826792,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",5,0,1.0,-539.8468253826725,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,0.9999999999999998,0.5,0.0,0.06666666666666667,1.05,1.0,1.0
0,0.15,2,0.0,-530.0748665748762,True,1.0,1.0,-530.0748665748762,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",1,0,8.0,-545.1579245543033,0,0,,,False,True,1.0,0.1,0.0,0.06666666666666667,0.0,1.0,8.0
0,0.15,3,0.01,-530.278112898133,True,1.0,1.0,-530.278112898133,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",4,0,3.0,-538.2427445361375,0,0,,,False,True,1.0,0.4,0.0,0.06666666666666667,0.15,1.0,3.0
0,0.2,1,0.04,-536.1712256307751,True,1.0,1.0,-536.1712256307751,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",7,0,2.0,-536.1712256307088,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.7,0.0,0.08888888888888889,0.45,1.0,1.0
0,0.2,2,0.03,-540.0003626187068,True,1.0,1.0,-540.0003626187068,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",6,0,1.0,-540.0003626187332,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.6,0.0,0.08888888888888889,0.33749999999999997,1.0,1.0
0,0.2,3,0.02,-538.5427915392901,True,1.0,1.0,-538.5427915392902,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",4,0,3.0,-538.5427915393225,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,0.9999999999999998,0.4,0.0,0.08888888888888889,0.225,1.0,1.0
0,0.25,1,0.04,-535.7600804338012,False,,,-544.5034752341794,"('Norm', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'triangle'))), ('Zone', '2')))",0,0,,-544.5034752342613,0,0,,,False,False,0.9839424444506661,0.0,0.0,0.1111111111111111,0.36000000000000004,,
0,0.25,2,0.06,-545.1737230218893,True,9.0,9.0,-542.3804974761099,"('Norm', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')))",3,10,9.0,-542.3804974760881,0,0,,,False,True,1.0051499372834702,0.3,1.0,0.1111111111111111,0.54,9.0,9.0
0,0.25,3,0.15,-564.0399163750789,False,,,-549.9992915146141,"('No-norm', 'true')",0,10,,-549.9992915147506,0,0,,,False,False,1.0255284417218047,0.0,1.0,0.1111111111111111,1.35,,
0,0.3,1,0.14,-560.5649463628073,False,,136.0,-549.9992915146141,"('No-norm', 'true')",0,10,,-549.9992915147792,0,0,,,False,False,1.0192103062880262,0.0,1.0,0.13333333333333333,1.05,136.0,
0,0.3,2,0.07,-547.7218371845144,True,1.0,1.0,-547.7218371845144,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",6,0,2.0,-547.7218371845164,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'any'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0,0.6,0.0,0.13333333333333333,0.525,1.0,1.0
0,0.3,3,0.12,-552.388070651843,True,2.0,2.0,-549.9992915146141,"('No-norm', 'true')",7,10,1.0,-552.3880706518153,2,2,1.0,"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0043432403897294,0.7,1.0,0.13333333333333333,0.9,2.0,1.0
0,0.35,1,0.13,-549.173442904733,True,1.0,1.0,-549.173442904733,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",2,0,3.0,-550.7900813813005,0,0,,,False,True,1.0,0.2,0.0,0.15555555555555553,0.8357142857142859,1.0,3.0
0,0.35,2,0.18,-552.4917305674,True,2.0,2.0,-549.9992915146141,"('No-norm', 'true')",2,10,9.0,-549.999291514541,0,0,,,False,True,1.004531713206252,0.2,1.0,0.15555555555555553,1.1571428571428573,2.0,9.0
0,0.35,3,0.12,-555.5160760423566,True,6.0,6.0,-549.9992915146141,"('No-norm', 'true')",1,10,57.0,-553.4281710493024,0,0,,,False,True,1.0100305302440484,0.1,1.0,0.15555555555555553,0.7714285714285716,6.0,57.0
0,0.4,1,0.12,-545.7132329318588,True,1.0,1.0,-545.7132329318588,"('Norms', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",1,0,5.0,-547.7490947711962,0,0,,,False,True,1.0,0.1,0.0,0.17777777777777778,0.6749999999999999,1.0,5.0
0,0.4,2,0.09,-552.3262054266502,True,2.0,2.0,-549.9992915146141,"('No-norm', 'true')",5,9,2.0,-549.9992915145532,0,0,,,False,True,1.0042307580172114,0.5,0.9,0.17777777777777778,0.50625,2.0,2.0
0,0.4,3,0.08,-548.0380496495485,True,1.0,1.0,-548.0380496495485,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",1,0,6.0,-549.9650197597716,0,0,,,False,True,1.0,0.1,0.0,0.17777777777777778,0.45,1.0,6.0
0,0.45,1,0.1,-549.0760559836866,True,1.0,1.0,-549.0760559836866,"('Norms', ('Obl', ('Moved', ('Colour', 'r'), ('Shape', 'any'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')), ('Per', ('Action', 'putdown'), ('Colour', 'any'), ('Shape', 'square'), ('PerZone', '3')))",4,0,2.0,-549.9992915145426,0,0,,,False,True,1.0,0.4,0.0,0.2,0.5,1.0,2.0
0,0.45,2,0.15,-559.2961539318704,True,39.0,39.0,-549.9992915146141,"('No-norm', 'true')",1,10,,-549.9992915146775,0,0,,,False,True,1.016903407987407,0.1,1.0,0.2,0.7499999999999999,39.0,
0,0.45,3,0.06,-549.542861583334,True,4.0,4.0,-545.483553177269,"('Norm', ('Obl', ('Moved', ('Colour', 'any'), ('Shape', 'circle'), ('Zone', '1'), ('Next-Move', ('Colour', 'any'), ('Shape', 'any'))), ('Zone', '2')))",4,10,15.0,-545.4835531772198,0,0,,,False,True,1.0074416696569877,0.4,1.0,0.2,0.3,4.0,15.0
0,0.5,1,0.14,-558.4775908223204,True,53.0,52.0,-549.9992915146141,"('No-norm', 'true')",2,10,93.0,-551.3334698746443,1,1,10.0,"['Norm', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'circle'], ['Zone', '1'], ['Next-Move', ['Colour', 'b'], ['Shape', 'any']]], ['Zone', '2']]]",True,True,1.0154151095074293,0.2,1.0,0.2222222222222222,0.6300000000000001,52.0,10.0
0,0.5,2,0.18,-552.9015552564407,True,4.0,4.0,-549.9992915146141,"('No-norm', 'true')",3,10,17.0,-551.9212565394953,2,2,17.0,"['Norms', ['Obl', ['Moved', ['Colour', 'r'], ['Shape', 'any'], ['Zone', '1'], ['Next-Move', ['Colour', 'any'], ['Shape', 'any']]], ['Zone', '2']], ['Per', ['Action', 'putdown'], ['Colour', 'any'], ['Shape', 'square'], ['PerZone', '3']]]",True,True,1.0052768499643594,0.3,1.0,0.2222222222222222,0.81,4.0,17.0
0,0.5,3,0.16,-560.8038924419317,False,,63.0,-549.9992915146141,"('No-norm', 'true')",0,10,,-549.9992915146545,0,0,,,False,False,1.0196447542642524,0.0,1.0,0.2222222222222222,0.7200000000000001,63.0,
0,0.55,1,0.11,-553.4521038772559,True,8.0,8.0,-549.9992915146141,"('No-norm', 'true')",2,10,26.0,-550.2211897579681,0,0,,,False,True,1.0062778487461925,0.2,1.0,0.24444444444444446,0.44999999999999996,8.0,26.0
0,0.55,2,0.12,-557.3244535239595,True,27.0,27.0,-549.9992915146141,"('No-norm', 'true')",4,10,30.0,-549.9992915145606,0,0,,,False,True,1.0133184935369153,0.4,1.0,0.24444444444444446,0.49090909090909085,27.0,30.0
0,0.55,3,0.22,-559.0539373197404,True,43.0,43.0,-549.9992915146141,"('No-norm', 'true')",2,10,58.0,-549.9992915145691,0,0,,,False,True,1.0164630135798742,0.2,1.0,0.24444444444444446,0.8999999999999999,43.0,58.0
